"date","indicator","count"
2020-05-17,"CO_IVBed_NonC19",3
2020-05-17,"CO_IVBed_Spare",58
2020-05-18,"CO_GABed_C19_Con",100
2020-05-18,"CO_GABed_C19_Sus",23
2020-05-18,"CO_GABed_NonC19",661
2020-05-18,"CO_GABed_Spare",593
2020-05-18,"CO_IVBed_C19_Con",10
2020-05-18,"CO_IVBed_C19_Sus",3
2020-05-18,"CO_IVBed_NonC19",8
2020-05-18,"CO_IVBed_Spare",55
2020-05-19,"CO_GABed_C19_Con",96
2020-05-19,"CO_GABed_C19_Sus",15
2020-05-19,"CO_GABed_NonC19",651
2020-05-19,"CO_GABed_Spare",615
2020-05-19,"CO_IVBed_C19_Con",10
2020-05-19,"CO_IVBed_C19_Sus",3
2020-05-19,"CO_IVBed_NonC19",8
2020-05-19,"CO_IVBed_Spare",55
2020-05-20,"CO_GABed_C19_Con",89
2020-05-20,"CO_GABed_C19_Sus",27
2020-05-20,"CO_GABed_NonC19",635
2020-05-20,"CO_GABed_Spare",626
2020-05-20,"CO_IVBed_C19_Con",9
2020-05-20,"CO_IVBed_C19_Sus",3
2020-05-20,"CO_IVBed_NonC19",8
2020-05-20,"CO_IVBed_Spare",56
2020-05-21,"CO_GABed_C19_Con",86
2020-05-21,"CO_GABed_C19_Sus",34
2020-05-21,"CO_GABed_NonC19",625
2020-05-21,"CO_GABed_Spare",632
2020-05-21,"CO_IVBed_C19_Con",9
2020-05-21,"CO_IVBed_C19_Sus",4
2020-05-21,"CO_IVBed_NonC19",6
2020-05-21,"CO_IVBed_Spare",57
2020-05-22,"CO_GABed_C19_Con",85
2020-05-22,"CO_GABed_C19_Sus",29
2020-05-22,"CO_GABed_NonC19",633
2020-05-22,"CO_GABed_Spare",630
2020-05-22,"CO_IVBed_C19_Con",9
2020-05-22,"CO_IVBed_C19_Sus",5
2020-05-22,"CO_IVBed_NonC19",4
2020-05-22,"CO_IVBed_Spare",58
2020-05-23,"CO_GABed_C19_Con",84
2020-05-23,"CO_GABed_C19_Sus",37
2020-05-23,"CO_GABed_NonC19",611
2020-05-23,"CO_GABed_Spare",645
2020-05-23,"CO_IVBed_C19_Con",8
2020-05-23,"CO_IVBed_C19_Sus",5
2020-05-23,"CO_IVBed_NonC19",4
2020-05-23,"CO_IVBed_Spare",59
2020-05-24,"CO_GABed_C19_Con",85
2020-05-24,"CO_GABed_C19_Sus",37
2020-05-24,"CO_GABed_NonC19",622
2020-05-24,"CO_GABed_Spare",633
2020-05-24,"CO_IVBed_C19_Con",9
2020-05-24,"CO_IVBed_C19_Sus",5
2020-05-24,"CO_IVBed_NonC19",7
2020-05-24,"CO_IVBed_Spare",55
2020-05-25,"CO_GABed_C19_Con",86
2020-05-25,"CO_GABed_C19_Sus",19
2020-05-25,"CO_GABed_NonC19",671
2020-05-25,"CO_GABed_Spare",601
2020-05-25,"CO_IVBed_C19_Con",6
2020-05-25,"CO_IVBed_C19_Sus",3
2020-05-25,"CO_IVBed_NonC19",6
2020-05-25,"CO_IVBed_Spare",61
2020-05-26,"CO_GABed_C19_Con",86
2020-05-26,"CO_GABed_C19_Sus",18
2020-05-26,"CO_GABed_NonC19",701
2020-05-26,"CO_GABed_Spare",572
2020-05-26,"CO_IVBed_C19_Con",6
2020-05-26,"CO_IVBed_C19_Sus",4
2020-05-26,"CO_IVBed_NonC19",3
2020-05-26,"CO_IVBed_Spare",63
2020-05-27,"CO_GABed_C19_Con",79
2020-05-27,"CO_GABed_C19_Sus",33
2020-05-27,"CO_GABed_NonC19",706
2020-05-27,"CO_GABed_Spare",559
2020-05-27,"CO_IVBed_C19_Con",5
2020-05-27,"CO_IVBed_C19_Sus",5
2020-05-27,"CO_IVBed_NonC19",4
2020-05-27,"CO_IVBed_Spare",62
2020-05-28,"CO_GABed_C19_Con",72
2020-05-28,"CO_GABed_C19_Sus",32
2020-05-28,"CO_GABed_NonC19",682
2020-05-28,"CO_GABed_Spare",591
2020-05-28,"CO_IVBed_C19_Con",4
2020-05-28,"CO_IVBed_C19_Sus",4
2020-05-28,"CO_IVBed_NonC19",5
2020-05-28,"CO_IVBed_Spare",63
2020-05-29,"CO_GABed_C19_Con",68
2020-05-29,"CO_GABed_C19_Sus",38
2020-05-29,"CO_GABed_NonC19",671
2020-05-29,"CO_GABed_Spare",600
2020-05-29,"CO_IVBed_C19_Con",3
2020-05-29,"CO_IVBed_C19_Sus",3
2020-05-29,"CO_IVBed_NonC19",9
2020-05-29,"CO_IVBed_Spare",61
2020-05-30,"CO_GABed_C19_Con",63
2020-05-30,"CO_GABed_C19_Sus",39
2020-05-30,"CO_GABed_NonC19",649
2020-05-30,"CO_GABed_Spare",626
2020-05-30,"CO_IVBed_C19_Con",4
2020-05-30,"CO_IVBed_C19_Sus",2
2020-05-30,"CO_IVBed_NonC19",9
2020-05-30,"CO_IVBed_Spare",61
2020-05-31,"CO_GABed_C19_Con",68
2020-05-31,"CO_GABed_C19_Sus",24
2020-05-31,"CO_GABed_NonC19",685
2020-05-31,"CO_GABed_Spare",600
2020-05-31,"CO_IVBed_C19_Con",4
2020-05-31,"CO_IVBed_C19_Sus",3
2020-05-31,"CO_IVBed_NonC19",7
2020-05-31,"CO_IVBed_Spare",62
2020-06-01,"CO_GABed_C19_Con",71
2020-06-01,"CO_GABed_C19_Sus",22
2020-06-01,"CO_GABed_NonC19",741
2020-06-01,"CO_GABed_Spare",543
2020-06-01,"CO_IVBed_C19_Con",4
2020-06-01,"CO_IVBed_C19_Sus",4
2020-06-01,"CO_IVBed_NonC19",5
2020-06-01,"CO_IVBed_Spare",63
2020-06-02,"CO_GABed_C19_Con",75
2020-06-02,"CO_GABed_C19_Sus",20
2020-06-02,"CO_GABed_NonC19",745
2020-06-02,"CO_GABed_Spare",537
2020-06-02,"CO_IVBed_C19_Con",4
2020-06-02,"CO_IVBed_C19_Sus",4
2020-06-02,"CO_IVBed_NonC19",7
2020-06-02,"CO_IVBed_Spare",61
2020-06-03,"CO_GABed_C19_Con",72
2020-06-03,"CO_GABed_C19_Sus",50
2020-06-03,"CO_GABed_NonC19",723
2020-06-03,"CO_GABed_Spare",532
2020-06-03,"CO_IVBed_C19_Con",3
2020-06-03,"CO_IVBed_C19_Sus",5
2020-06-03,"CO_IVBed_NonC19",8
2020-06-03,"CO_IVBed_Spare",60
2020-06-04,"CO_GABed_C19_Con",69
2020-06-04,"CO_GABed_C19_Sus",62
2020-06-04,"CO_GABed_NonC19",691
2020-06-04,"CO_GABed_Spare",555
2020-06-04,"CO_IVBed_C19_Con",3
2020-06-04,"CO_IVBed_C19_Sus",5
2020-06-04,"CO_IVBed_NonC19",8
2020-06-04,"CO_IVBed_Spare",60
2020-06-05,"CO_GABed_C19_Con",66
2020-06-05,"CO_GABed_C19_Sus",43
2020-06-05,"CO_GABed_NonC19",726
2020-06-05,"CO_GABed_Spare",542
2020-06-05,"CO_IVBed_C19_Con",3
2020-06-05,"CO_IVBed_C19_Sus",2
2020-06-05,"CO_IVBed_NonC19",13
2020-06-05,"CO_IVBed_Spare",58
2020-06-06,"CO_GABed_C19_Con",63
2020-06-06,"CO_GABed_C19_Sus",62
2020-06-06,"CO_GABed_NonC19",693
2020-06-06,"CO_GABed_Spare",559
2020-06-06,"CO_IVBed_C19_Con",5
2020-06-06,"CO_IVBed_C19_Sus",5
2020-06-06,"CO_IVBed_NonC19",8
2020-06-06,"CO_IVBed_Spare",58
2020-06-07,"CO_GABed_C19_Con",62
2020-06-07,"CO_GABed_C19_Sus",66
2020-06-07,"CO_GABed_NonC19",710
2020-06-07,"CO_GABed_Spare",539
2020-06-07,"CO_IVBed_C19_Con",4
2020-06-07,"CO_IVBed_C19_Sus",3
2020-06-07,"CO_IVBed_NonC19",9
2020-06-07,"CO_IVBed_Spare",60
2020-06-08,"CO_GABed_C19_Con",33
2020-06-08,"CO_GABed_C19_Rec",21
2020-06-08,"CO_GABed_C19_Sus",48
2020-06-08,"CO_GABed_NonC19",778
2020-06-08,"CO_GABed_Spare",497
2020-06-08,"CO_IVBed_C19_Con",2
2020-06-08,"CO_IVBed_C19_Rec",1
2020-06-08,"CO_IVBed_C19_Sus",4
2020-06-08,"CO_IVBed_NonC19",8
2020-06-08,"CO_IVBed_Spare",61
2020-06-09,"CO_GABed_C19_Con",31
2020-06-09,"CO_GABed_C19_Rec",20
2020-06-09,"CO_GABed_C19_Sus",32
2020-06-09,"CO_GABed_NonC19",795
2020-06-09,"CO_GABed_Spare",499
2020-06-09,"CO_IVBed_C19_Con",2
2020-06-09,"CO_IVBed_C19_Rec",1
2020-06-09,"CO_IVBed_C19_Sus",4
2020-06-09,"CO_IVBed_NonC19",9
2020-06-09,"CO_IVBed_Spare",60
