"date","health_board","percent_beds_in_use_covid"
2020-05-08,"Cwm Taf University Health Board",0.174418604651163
2020-05-08,"Aneurin Bevan University Health Board",0.130904183535762
2020-05-08,"Powys Teaching Health Board",0.10958904109589
2020-05-08,"Velindre University NHS Trust",0.133333333333333
2020-05-08,"Wales",0.128549901472122
2020-05-09,"Betsi Cadwaladr University Health Board",0.196846112017401
2020-05-09,"Hywel Dda University Health Board",0.0814814814814815
2020-05-09,"Abertawe Bro Morgannwg University Health Board",0.130151843817787
2020-05-09,"Cardiff and Vale University Health Board",0.0599163957268927
2020-05-09,"Cwm Taf University Health Board",0.168900804289544
2020-05-09,"Aneurin Bevan University Health Board",0.112685560053981
2020-05-09,"Powys Teaching Health Board",0.102739726027397
2020-05-09,"Velindre University NHS Trust",0.133333333333333
2020-05-09,"Wales",0.12308939323761
2020-05-10,"Betsi Cadwaladr University Health Board",0.186247969680563
2020-05-10,"Hywel Dda University Health Board",0.0790305584826133
2020-05-10,"Abertawe Bro Morgannwg University Health Board",0.117582417582418
2020-05-10,"Cardiff and Vale University Health Board",0.0538783093358105
2020-05-10,"Cwm Taf University Health Board",0.161751563896336
2020-05-10,"Aneurin Bevan University Health Board",0.117408906882591
2020-05-10,"Powys Teaching Health Board",0.089041095890411
2020-05-10,"Velindre University NHS Trust",0.1
2020-05-10,"Wales",0.117299675775822
2020-05-11,"Betsi Cadwaladr University Health Board",0.173129437465866
2020-05-11,"Hywel Dda University Health Board",0.0839454354669465
2020-05-11,"Abertawe Bro Morgannwg University Health Board",0.115730337078652
2020-05-11,"Cardiff and Vale University Health Board",0.0473757547607989
2020-05-11,"Cwm Taf University Health Board",0.156222418358341
2020-05-11,"Aneurin Bevan University Health Board",0.114035087719298
2020-05-11,"Powys Teaching Health Board",0.102739726027397
2020-05-11,"Velindre University NHS Trust",0.0666666666666667
2020-05-11,"Wales",0.111974936180088
2020-05-12,"Betsi Cadwaladr University Health Board",0.175895765472313
2020-05-12,"Hywel Dda University Health Board",0.0848484848484849
2020-05-12,"Abertawe Bro Morgannwg University Health Board",0.0923913043478261
2020-05-12,"Cardiff and Vale University Health Board",0.0538783093358105
2020-05-12,"Cwm Taf University Health Board",0.146513680494263
2020-05-12,"Aneurin Bevan University Health Board",0.116311080523056
2020-05-12,"Powys Teaching Health Board",0.127659574468085
2020-05-12,"Velindre University NHS Trust",0.0666666666666667
2020-05-12,"Wales",0.11129069498961
2020-05-13,"Betsi Cadwaladr University Health Board",0.160493827160494
2020-05-13,"Hywel Dda University Health Board",0.0708502024291498
2020-05-13,"Abertawe Bro Morgannwg University Health Board",0.0763274336283186
2020-05-13,"Cardiff and Vale University Health Board",0.0501625638643753
2020-05-13,"Cwm Taf University Health Board",0.164165931156222
2020-05-13,"Aneurin Bevan University Health Board",0.105299380591879
2020-05-13,"Powys Teaching Health Board",0.128571428571429
2020-05-13,"Velindre University NHS Trust",0.0666666666666667
2020-05-13,"Wales",0.103387438249824
2020-05-14,"Betsi Cadwaladr University Health Board",0.167847411444142
2020-05-14,"Hywel Dda University Health Board",0.0649627263045793
2020-05-14,"Abertawe Bro Morgannwg University Health Board",0.0725108225108225
2020-05-14,"Cardiff and Vale University Health Board",0.0524849047840223
2020-05-14,"Cwm Taf University Health Board",0.162400706090026
2020-05-14,"Aneurin Bevan University Health Board",0.0984170681348933
2020-05-14,"Powys Teaching Health Board",0.128571428571429
2020-05-14,"Velindre University NHS Trust",0.0333333333333333
2020-05-14,"Wales",0.103985128383874
2020-05-15,"Betsi Cadwaladr University Health Board",0.176374523679913
2020-05-15,"Hywel Dda University Health Board",0.0555555555555556
2020-05-15,"Abertawe Bro Morgannwg University Health Board",0.0627099664053751
2020-05-15,"Cardiff and Vale University Health Board",0.0436600092893637
2020-05-15,"Cwm Taf University Health Board",0.140335392762577
2020-05-15,"Aneurin Bevan University Health Board",0.0935994494150034
2020-05-15,"Powys Teaching Health Board",0.120567375886525
2020-05-15,"Velindre University NHS Trust",0.1
2020-05-15,"Wales",0.0980643656716418
2020-05-16,"Betsi Cadwaladr University Health Board",0.182561307901907
2020-05-16,"Hywel Dda University Health Board",0.044711014176663
2020-05-16,"Abertawe Bro Morgannwg University Health Board",0.0670391061452514
2020-05-16,"Cardiff and Vale University Health Board",0.0496980956804459
2020-05-16,"Cwm Taf University Health Board",0.149240393208222
2020-05-16,"Aneurin Bevan University Health Board",0.0984170681348933
2020-05-16,"Powys Teaching Health Board",0.099290780141844
2020-05-16,"Velindre University NHS Trust",0.0333333333333333
2020-05-16,"Wales",0.101603652112841
2020-05-17,"Betsi Cadwaladr University Health Board",0.184598580010923
2020-05-17,"Hywel Dda University Health Board",0.0501635768811341
2020-05-17,"Abertawe Bro Morgannwg University Health Board",0.0675381263616558
2020-05-17,"Cardiff and Vale University Health Board",0.0408732001857873
2020-05-17,"Cwm Taf University Health Board",0.142984807864164
2020-05-17,"Aneurin Bevan University Health Board",0.0949759119064005
2020-05-17,"Powys Teaching Health Board",0.106382978723404
2020-05-17,"Velindre University NHS Trust",0.0333333333333333
2020-05-17,"Wales",0.0990422798411586
2020-05-18,"Betsi Cadwaladr University Health Board",0.171367748802555
2020-05-18,"Hywel Dda University Health Board",0.0493562231759657
2020-05-18,"Abertawe Bro Morgannwg University Health Board",0.067907995618839
2020-05-18,"Cardiff and Vale University Health Board",0.0399442638179285
2020-05-18,"Cwm Taf University Health Board",0.136729222520107
2020-05-18,"Aneurin Bevan University Health Board",0.0935994494150034
2020-05-18,"Powys Teaching Health Board",0.0845070422535211
2020-05-18,"Velindre University NHS Trust",0.1
2020-05-18,"Wales",0.0951165758032711
2020-05-19,"Betsi Cadwaladr University Health Board",0.184689507494647
2020-05-19,"Hywel Dda University Health Board",0.0532030401737242
2020-05-19,"Abertawe Bro Morgannwg University Health Board",0.059016393442623
2020-05-19,"Cardiff and Vale University Health Board",0.0496980956804459
2020-05-19,"Cwm Taf University Health Board",0.170044052863436
2020-05-19,"Aneurin Bevan University Health Board",0.0853406744666208
2020-05-19,"Powys Teaching Health Board",0.0845070422535211
2020-05-19,"Velindre University NHS Trust",0.133333333333333
2020-05-19,"Wales",0.103052106301497
2020-05-20,"Betsi Cadwaladr University Health Board",0.176786673831273
2020-05-20,"Hywel Dda University Health Board",0.0402611534276387
2020-05-20,"Abertawe Bro Morgannwg University Health Board",0.033879781420765
2020-05-20,"Cardiff and Vale University Health Board",0.053166897827092
2020-05-20,"Cwm Taf University Health Board",0.170925110132159
2020-05-20,"Aneurin Bevan University Health Board",0.088093599449415
2020-05-20,"Powys Teaching Health Board",0.0704225352112676
2020-05-20,"Velindre University NHS Trust",0.133333333333333
2020-05-20,"Wales",0.0983987003945231
2020-05-21,"Betsi Cadwaladr University Health Board",0.177848775292865
2020-05-21,"Hywel Dda University Health Board",0.0426229508196721
2020-05-21,"Abertawe Bro Morgannwg University Health Board",0.0622950819672131
2020-05-21,"Cardiff and Vale University Health Board",0.0603808639108221
