"date","indicator","count"
2020-05-27,"CO_IVBed_C19_Sus",2
2020-05-27,"CO_IVBed_NonC19",19
2020-05-27,"CO_IVBed_Spare",36
2020-05-28,"CO_GABed_C19_Con",184
2020-05-28,"CO_GABed_C19_Rec",52
2020-05-28,"CO_GABed_C19_Sus",81
2020-05-28,"CO_GABed_NonC19",1030
2020-05-28,"CO_GABed_Spare",467
2020-05-28,"CO_IVBed_C19_Con",8
2020-05-28,"CO_IVBed_C19_Rec",0
2020-05-28,"CO_IVBed_C19_Sus",2
2020-05-28,"CO_IVBed_NonC19",13
2020-05-28,"CO_IVBed_Spare",37
2020-05-29,"CO_GABed_C19_Con",180
2020-05-29,"CO_GABed_C19_Rec",55
2020-05-29,"CO_GABed_C19_Sus",65
2020-05-29,"CO_GABed_NonC19",1058
2020-05-29,"CO_GABed_Spare",423
2020-05-29,"CO_IVBed_C19_Con",9
2020-05-29,"CO_IVBed_C19_Rec",0
2020-05-29,"CO_IVBed_C19_Sus",2
2020-05-29,"CO_IVBed_NonC19",12
2020-05-29,"CO_IVBed_Spare",37
2020-05-30,"CO_GABed_C19_Con",167
2020-05-30,"CO_GABed_C19_Rec",70
2020-05-30,"CO_GABed_C19_Sus",82
2020-05-30,"CO_GABed_NonC19",990
2020-05-30,"CO_GABed_Spare",468
2020-05-30,"CO_IVBed_C19_Con",9
2020-05-30,"CO_IVBed_C19_Rec",0
2020-05-30,"CO_IVBed_C19_Sus",3
2020-05-30,"CO_IVBed_NonC19",14
2020-05-30,"CO_IVBed_Spare",35
2020-05-31,"CO_GABed_C19_Con",171
2020-05-31,"CO_GABed_C19_Rec",68
2020-05-31,"CO_GABed_C19_Sus",65
2020-05-31,"CO_GABed_NonC19",987
2020-05-31,"CO_GABed_Spare",495
2020-05-31,"CO_IVBed_C19_Con",7
2020-05-31,"CO_IVBed_C19_Rec",0
2020-05-31,"CO_IVBed_C19_Sus",3
2020-05-31,"CO_IVBed_NonC19",20
2020-05-31,"CO_IVBed_Spare",36
2020-06-01,"CO_GABed_C19_Con",168
2020-06-01,"CO_GABed_C19_Rec",65
2020-06-01,"CO_GABed_C19_Sus",75
2020-06-01,"CO_GABed_NonC19",1013
2020-06-01,"CO_GABed_Spare",476
2020-06-01,"CO_IVBed_C19_Con",8
2020-06-01,"CO_IVBed_C19_Rec",0
2020-06-01,"CO_IVBed_C19_Sus",0
2020-06-01,"CO_IVBed_NonC19",16
2020-06-01,"CO_IVBed_Spare",34
2020-06-02,"CO_GABed_C19_Con",175
2020-06-02,"CO_GABed_C19_Rec",58
2020-06-02,"CO_GABed_C19_Sus",105
2020-06-02,"CO_GABed_NonC19",1059
2020-06-02,"CO_GABed_Spare",389
2020-06-02,"CO_IVBed_C19_Con",7
2020-06-02,"CO_IVBed_C19_Rec",0
2020-06-02,"CO_IVBed_C19_Sus",1
2020-06-02,"CO_IVBed_NonC19",16
2020-06-02,"CO_IVBed_Spare",37
2020-06-03,"CO_GABed_C19_Con",163
2020-06-03,"CO_GABed_C19_Rec",58
2020-06-03,"CO_GABed_C19_Sus",93
2020-06-03,"CO_GABed_NonC19",1109
2020-06-03,"CO_GABed_Spare",374
2020-06-03,"CO_IVBed_C19_Con",8
2020-06-03,"CO_IVBed_C19_Rec",0
2020-06-03,"CO_IVBed_C19_Sus",1
2020-06-03,"CO_IVBed_NonC19",17
2020-06-03,"CO_IVBed_Spare",35
2020-06-04,"CO_GABed_C19_Con",188
2020-06-04,"CO_GABed_C19_Rec",66
2020-06-04,"CO_GABed_C19_Sus",102
2020-06-04,"CO_GABed_NonC19",1076
2020-06-04,"CO_GABed_Spare",359
2020-06-04,"CO_IVBed_C19_Con",10
2020-06-04,"CO_IVBed_C19_Rec",3
2020-06-04,"CO_IVBed_C19_Sus",0
2020-06-04,"CO_IVBed_NonC19",11
2020-06-04,"CO_IVBed_Spare",37
2020-06-05,"CO_GABed_C19_Con",177
2020-06-05,"CO_GABed_C19_Rec",72
2020-06-05,"CO_GABed_C19_Sus",103
2020-06-05,"CO_GABed_NonC19",1036
2020-06-05,"CO_GABed_Spare",396
2020-06-05,"CO_IVBed_C19_Con",7
2020-06-05,"CO_IVBed_C19_Rec",0
2020-06-05,"CO_IVBed_C19_Sus",1
2020-06-05,"CO_IVBed_NonC19",18
2020-06-05,"CO_IVBed_Spare",35
2020-06-06,"CO_GABed_C19_Con",189
2020-06-06,"CO_GABed_C19_Rec",72
2020-06-06,"CO_GABed_C19_Sus",90
2020-06-06,"CO_GABed_NonC19",997
2020-06-06,"CO_GABed_Spare",439
2020-06-06,"CO_IVBed_C19_Con",5
2020-06-06,"CO_IVBed_C19_Rec",0
2020-06-06,"CO_IVBed_C19_Sus",1
2020-06-06,"CO_IVBed_NonC19",18
2020-06-06,"CO_IVBed_Spare",33
2020-06-07,"CO_GABed_C19_Con",172
2020-06-07,"CO_GABed_C19_Rec",49
2020-06-07,"CO_GABed_C19_Sus",72
2020-06-07,"CO_GABed_NonC19",1029
2020-06-07,"CO_GABed_Spare",457
2020-06-07,"CO_IVBed_C19_Con",6
2020-06-07,"CO_IVBed_C19_Rec",0
2020-06-07,"CO_IVBed_C19_Sus",2
2020-06-07,"CO_IVBed_NonC19",16
2020-06-07,"CO_IVBed_Spare",33
2020-06-08,"CO_GABed_C19_Con",165
2020-06-08,"CO_GABed_C19_Rec",48
2020-06-08,"CO_GABed_C19_Sus",71
2020-06-08,"CO_GABed_NonC19",1091
2020-06-08,"CO_GABed_Spare",414
2020-06-08,"CO_IVBed_C19_Con",6
2020-06-08,"CO_IVBed_C19_Rec",0
2020-06-08,"CO_IVBed_C19_Sus",3
2020-06-08,"CO_IVBed_NonC19",14
2020-06-08,"CO_IVBed_Spare",34
2020-06-09,"CO_GABed_C19_Con",163
2020-06-09,"CO_GABed_C19_Rec",52
2020-06-09,"CO_GABed_C19_Sus",80
2020-06-09,"CO_GABed_NonC19",1091
2020-06-09,"CO_GABed_Spare",389
2020-06-09,"CO_IVBed_C19_Con",5
2020-06-09,"CO_IVBed_C19_Rec",0
2020-06-09,"CO_IVBed_C19_Sus",4
2020-06-09,"CO_IVBed_NonC19",14
2020-06-09,"CO_IVBed_Spare",35
2020-06-10,"CO_GABed_C19_Con",142
2020-06-10,"CO_GABed_C19_Rec",58
2020-06-10,"CO_GABed_C19_Sus",94
2020-06-10,"CO_GABed_NonC19",1106
2020-06-10,"CO_GABed_Spare",370
2020-06-10,"CO_IVBed_C19_Con",6
2020-06-10,"CO_IVBed_C19_Rec",0
2020-06-10,"CO_IVBed_C19_Sus",0
2020-06-10,"CO_IVBed_NonC19",23
2020-06-10,"CO_IVBed_Spare",29
