"date","health_board","lockdown_status","admission_type","count"
2020-06-14,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",57
2020-06-15,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",8
2020-06-15,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",50
2020-06-15,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",58
2020-06-16,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",11
2020-06-16,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",90
2020-06-16,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",101
2020-06-17,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",8
2020-06-17,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",97
2020-06-17,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",105
2020-06-18,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",5
2020-06-18,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",112
2020-06-18,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",117
2020-06-19,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",5
2020-06-19,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",93
2020-06-19,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",98
2020-06-20,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",6
2020-06-20,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",86
2020-06-20,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",92
2020-06-21,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",3
2020-06-21,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",72
2020-06-21,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",75
2020-06-22,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",4
2020-06-22,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",65
2020-06-22,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",69
2020-06-23,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",10
2020-06-23,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",103
2020-06-23,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",113
2020-06-24,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",7
2020-06-24,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",75
2020-06-24,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",82
2020-06-25,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",2
2020-06-25,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",100
2020-06-25,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",102
2020-06-26,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",9
2020-06-26,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",86
2020-06-26,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",95
2020-06-27,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",2
2020-06-27,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",82
2020-06-27,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",84
2020-06-28,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",6
2020-06-28,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",49
2020-06-28,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",55
2020-06-29,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",7
2020-06-29,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",56
2020-06-29,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",63
2020-06-30,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",8
2020-06-30,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",83
2020-06-30,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",91
2020-07-01,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",6
2020-07-01,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",93
2020-07-01,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",99
2020-07-02,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",10
2020-07-02,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",93
2020-07-02,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",103
2020-07-03,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",8
2020-07-03,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",78
2020-07-03,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",86
2020-07-04,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",5
2020-07-04,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",63
2020-07-04,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",68
2020-07-05,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",3
2020-07-05,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",43
2020-07-05,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",46
2020-07-06,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",4
2020-07-06,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",48
2020-07-06,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",52
2020-07-07,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",6
2020-07-07,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",90
2020-07-07,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",96
2020-07-08,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",6
2020-07-08,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",78
2020-07-08,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",84
2020-07-09,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",5
2020-07-09,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",52
2020-07-09,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",57
2020-07-10,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",3
2020-07-10,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",65
2020-07-10,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",68
2020-07-11,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",6
2020-07-11,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",63
2020-07-11,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",69
2020-07-12,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",2
2020-07-12,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",51
2020-07-12,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",53
2020-07-13,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",1
2020-07-13,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",68
2020-07-13,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",69
2020-07-14,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",3
2020-07-14,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",51
2020-07-14,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",54
2020-07-15,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",4
2020-07-15,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",69
2020-07-15,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",73
2020-07-16,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",0
2020-07-16,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",86
2020-07-16,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",86
2020-07-17,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",2
2020-07-17,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",38
2020-07-17,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",40
2020-07-18,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",6
2020-07-18,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",78
2020-07-18,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",84
2020-07-19,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",5
2020-07-19,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",52
2020-07-19,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",57
2020-07-20,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",3
2020-07-20,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",59
2020-07-20,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",62
2020-07-21,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",9
2020-07-21,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",78
2020-07-21,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",87
