"","date","health_board","percent_beds_in_use_covid"
"190",2020-04-24,"Cwm Taf University Health Board",0.182506307821699
"191",2020-04-24,"Aneurin Bevan University Health Board",0.154248366013072
"192",2020-04-24,"Powys Teaching Health Board",0.123287671232877
"193",2020-04-24,"Velindre University NHS Trust",0.0666666666666667
"194",2020-04-24,"Wales",0.154135338345865
"195",2020-04-25,"Betsi Cadwaladr University Health Board",0.160854893138358
"196",2020-04-25,"Hywel Dda University Health Board",0.0916256157635468
"197",2020-04-25,"Abertawe Bro Morgannwg University Health Board",0.214285714285714
"198",2020-04-25,"Cardiff and Vale University Health Board",0.129122155132373
"199",2020-04-25,"Cwm Taf University Health Board",0.161209068010076
"200",2020-04-25,"Aneurin Bevan University Health Board",0.183006535947712
"201",2020-04-25,"Powys Teaching Health Board",0.143835616438356
"202",2020-04-25,"Velindre University NHS Trust",0.0666666666666667
"203",2020-04-25,"Wales",0.153890094824632
"204",2020-04-26,"Betsi Cadwaladr University Health Board",0.165193370165746
"205",2020-04-26,"Hywel Dda University Health Board",0.0817733990147783
"206",2020-04-26,"Abertawe Bro Morgannwg University Health Board",0.216097023153252
"207",2020-04-26,"Cardiff and Vale University Health Board",0.125870877844868
"208",2020-04-26,"Cwm Taf University Health Board",0.153781512605042
"209",2020-04-26,"Aneurin Bevan University Health Board",0.166666666666667
"210",2020-04-26,"Powys Teaching Health Board",0.150684931506849
"211",2020-04-26,"Velindre University NHS Trust",0.1
"212",2020-04-26,"Wales",0.149413506434347
"213",2020-04-27,"Betsi Cadwaladr University Health Board",0.167315175097276
"214",2020-04-27,"Hywel Dda University Health Board",0.0890774125132556
"215",2020-04-27,"Abertawe Bro Morgannwg University Health Board",0.206509539842873
"216",2020-04-27,"Cardiff and Vale University Health Board",0.132373432419879
"217",2020-04-27,"Cwm Taf University Health Board",0.147899159663866
"218",2020-04-27,"Aneurin Bevan University Health Board",0.166127989657401
"219",2020-04-27,"Powys Teaching Health Board",0.0769230769230769
"220",2020-04-27,"Velindre University NHS Trust",0.133333333333333
